date_pst,date,time,YVR_ppb,Abbotsford_ppb
1/1/2017 1:00,1/1/2017,1:00,9.82674,
1/1/2017 2:00,1/1/2017,2:00,0.55419,
1/1/2017 3:00,1/1/2017,3:00,0.430365,
1/1/2017 4:00,1/1/2017,4:00,0.781523,
1/1/2017 5:00,1/1/2017,5:00,0.3761694,
1/1/2017 6:00,1/1/2017,6:00,0.37698,19.79347
1/1/2017 7:00,1/1/2017,7:00,0.3858786,23.62471
1/1/2017 8:00,1/1/2017,8:00,1.196753,22.60892
1/1/2017 9:00,1/1/2017,9:00,17.57165,24.95058
1/1/2017 10:00,1/1/2017,10:00,25.21092,28.70133
1/1/2017 11:00,1/1/2017,11:00,25.87544,32.25455
1/1/2017 12:00,1/1/2017,12:00,30.78856,34.54839
1/1/2017 13:00,1/1/2017,13:00,31.40172,36.05994
1/1/2017 14:00,1/1/2017,14:00,31.30881,36.33697
1/1/2017 15:00,1/1/2017,15:00,27.17896,36.11979
1/1/2017 16:00,1/1/2017,16:00,31.32506,36.53056
1/1/2017 17:00,1/1/2017,17:00,33.18453,36.99436
1/1/2017 18:00,1/1/2017,18:00,31.92422,36.94478
1/1/2017 19:00,1/1/2017,19:00,31.12101,36.77169
1/1/2017 20:00,1/1/2017,20:00,31.18042,36.73342
1/1/2017 21:00,1/1/2017,21:00,29.47935,36.77613
1/1/2017 22:00,1/1/2017,22:00,25.59153,36.86558
1/1/2017 23:00,1/1/2017,23:00,29.61431,37.27142
1/2/2017 0:00,1/1/2017,24:00:00,28.85261,37.56914
1/2/2017 1:00,1/2/2017,1:00,29.03372,37.76135
1/2/2017 2:00,1/2/2017,2:00,19.88778,37.87461
1/2/2017 3:00,1/2/2017,3:00,18.95078,37.88543
1/2/2017 4:00,1/2/2017,4:00,,
1/2/2017 5:00,1/2/2017,5:00,16.37281,37.76173
1/2/2017 6:00,1/2/2017,6:00,17.29339,37.96338
1/2/2017 7:00,1/2/2017,7:00,24.66514,37.76064
1/2/2017 8:00,1/2/2017,8:00,17.08206,37.4046
1/2/2017 9:00,1/2/2017,9:00,15.22869,36.94846
1/2/2017 10:00,1/2/2017,10:00,20.78972,37.23227
1/2/2017 11:00,1/2/2017,11:00,28.08892,36.66221
